INFO  - 2015-09-09 19:08:12.733; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2015-09-09 19:08:12.733; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2015-09-09 19:08:12.734; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.734; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2015-09-09 19:08:12.734; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.735; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2015-09-09 19:08:12.735; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2015-09-09 19:08:12.736; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2015-09-09 19:08:12.737; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2015-09-09 19:08:12.738; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-09-09 19:08:12.738; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2015-09-09 19:08:12.739; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2015-09-09 19:08:12.739; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.739; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.740; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.740; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.740; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2015-09-09 19:08:12.741; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.741; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2015-09-09 19:08:12.742; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2015-09-09 19:08:12.743; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2015-09-09 19:08:12.743; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.744; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.744; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2015-09-09 19:08:12.745; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2015-09-09 19:08:12.745; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
